SNe	Obs	redshift	BminusV	Type1	Type2	Type3	Bmax	Vmax	Rmax	Imax	B_scores1	V_scores1	R_scores1	I_scores1	B_scores2	V_scores2	R_scores2	I_scores2	B_scores3	V_scores3	R_scores3	I_scores3	B_scores4	V_scores4	R_scores4	I_scores4	B_scoresSD1	V_scoresSD1	R_scoresSD1	I_scoresSD1	B_scoresSD2	V_scoresSD2	R_scoresSD2	I_scoresSD2	B_scoresSD3	V_scoresSD3	R_scoresSD3	I_scoresSD3	B_scoresSD4	V_scoresSD4	R_scoresSD4	I_scoresSD4
SN1998de	LOSS	0.015689187	0.623975206433204	NA	NA	NA	17.332	16.642	16.48	16.542	4.233	5.07	4.533	3.484	0.98	0.375	-0.225	0.63	0.393	0.035	-0.608	-0.973	0.24	-0.146	-0.689	-0.319	0.233	0.15	0.181	0.368	0.16	0.084	0.078	0.157	0.169	0.083	0.072	0.157	0.067	0.075	0.062	0.089
SN1998dh	LOSS	0.007666637	0.0343168150018371	NA	NA	NA	13.89	13.822	13.807	14.01	1.596	0.988	0.394	-0.601	-0.362	-0.232	-0.278	0.621	0.25	0.049	0.034	0.897	-0.159	0.027	0.164	-0.374	0.051	0.05	0.043	0.071	0.034	0.02	0.03	0.052	0.053	0.029	0.028	0.066	0.031	0.028	0.018	0.06
SN1998ef	LOSS	0.017071477	-0.0416831724583488	NA	NA	NA	14.856	14.89	14.889	15.104	2.343	0.76	0.907	-0.725	-0.788	0.022	-0.078	0.441	0.41	-0.487	0.204	0.437	-0.199	-0.113	0.173	0.228	0.083	0.083	0.074	0.244	0.076	0.048	0.033	0.112	0.048	0.039	0.044	0.148	0.065	0.038	0.048	0.116
SN1999ac	LOSS	0.009817792	0.00106278605825594	HVG	CN	N	14.104	14.057	14.088	14.253	1.068	0.768	-0.239	-0.269	0.296	-0.034	-0.466	-0.309	-0.233	0.224	0.493	0.348	0.046	0.197	0.225	0.189	0.063	0.064	0.059	0.07	0.041	0.047	0.029	0.072	0.044	0.079	0.044	0.049	0.05	0.034	0.024	0.045
SN1999by	LOSS	0.002692863	0.391777307203116	NA	NA	NA	13.536	13.072	12.915	12.886	3.043	4.729	4.665	4.191	2.715	0.432	-0.246	0.252	0.425	-0.127	-0.314	-0.385	-0.638	0.084	-0.363	-0.662	0.12	0.124	0.079	0.131	0.114	0.098	0.054	0.04	0.044	0.052	0.028	0.042	0.094	0.06	0.024	0.035
SN1999cl	LOSS	0.008149972	1.08338789517738	NA	NA	N	14.864	13.756	13.31	13.184	0.898	0.554	0.294	-0.357	-0.017	-0.021	-0.271	-0.779	0.162	-0.17	0.277	0.31	-0.232	-0.054	0.188	0.451	0.137	0.097	0.067	0.067	0.125	0.053	0.047	0.05	0.073	0.055	0.037	0.078	0.083	0.06	0.033	0.047
SN1999cp	LOSS	0.01031547	-0.0224910052824612	LVG	BL	N	13.947	13.963	14.003	14.243	1.213	0.36	1.106	-0.29	-0.854	-0.089	0.446	1.441	0.089	-0.221	-0.026	-0.016	0.3	0.162	0.432	-0.324	0.114	0.068	0.052	0.068	0.106	0.05	0.022	0.051	0.051	0.032	0.032	0.096	0.076	0.044	0.031	0.06
SN1999da	LOSS	0.012116049	0.47670505801851	FAINT	CL	NA	16.598	16.031	15.883	15.881	3.835	4.565	4.58	5.075	1.383	0.548	0.006	0.269	-0.024	0.111	-0.301	-0.033	0.135	-0.015	-0.424	-0.72	0.198	0.141	0.154	0.286	0.125	0.087	0.057	0.108	0.113	0.064	0.062	0.106	0.098	0.075	0.051	0.074
SN1999dk	LOSS	0.014135779	0.0417393915048727	NA	NA	NA	14.828	14.755	14.828	15.115	1.393	0.762	0.103	-0.577	-0.532	-0.178	0.244	0.901	0.077	0.014	0.052	0.221	-0.162	0.247	0.156	0.067	0.106	0.109	0.064	0.131	0.06	0.043	0.046	0.094	0.073	0.042	0.043	0.118	0.065	0.069	0.035	0.088
SN1999dq	LOSS	0.013665787	0.098705156911306	HVG	SS	NA	14.479	14.365	14.408	14.635	-0.12	-0.37	-0.857	-1.91	-0.827	-0.149	0.13	0.036	-0.012	0.164	-0.004	-0.335	-0.076	0.064	-0.05	0.441	0.084	0.05	0.041	0.054	0.065	0.027	0.022	0.04	0.048	0.025	0.026	0.028	0.049	0.032	0.021	0.039
